歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
luminoid love PART2,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與TAP配置密集，牽制與視認壓力明顯；推分重點在手順穩定。
INFiNiTE ENERZY -Overdoze-,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條與TAP交錯多，視認與手順牽制明顯；重點在拘束配置下的穩定。
Nyan Cat,master,14.2,拘束配置,"全體難,視認難,局部難",片手處理,中,長條牽制非常明顯，TAP配置穿插其中；推分重點是拘束下的片手處理與視認。
アイデンティティ(104期NEW Ver.),master,14.2,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面有大量長條與TAP交錯，局部視認壓力明顯；不是單純高速或物量。
人マニア,master,14.2,拘束配置,"混合節奏,視認難,局部難",片手處理,中,圖面長條/滑條與TAP牽制多，局部配置容易卡手；主軸是手順整理。
Dramatic...?,master,14.2,局部難,"高速處理,視認難,混合節奏",交互穩定,中,圖面有局部高速TAP與視認壓力，段落型難點較明顯。
ENERGY SYNERGY MATRIX,master,14.2,高速處理,"全體難,階段,拘束配置","階段,交互穩定",中,圖面有高速TAP與規律階段配置，並穿插長條牽制；速度與階段穩定是核心。
Jakarta PROGRESSION,master,14.2,拘束配置,"局部難,視認難,混合節奏",片手處理,中,圖面長條牽制與局部配置明顯，整體不是純物量；重點在視認與片手處理。
SILENT BLUE,master,14.2,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面BPM210下有高速TAP與持續配置壓力，部分高速段可用餡蜜輔助。
イナイイナイ依存症,master,14.2,高速處理,"局部難,階段,視認難","階段,餡蜜可用",中,圖面BPM294帶來強烈速度壓力，局部高速配置與階段處理是核心；餡蜜可輔助部分高速段。
もぺもぺ,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,低BPM但長條與TAP交錯密集，視認與手順牽制是主要壓力。
アージェントシンメトリー,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與TAP交錯密集，整體手順牽制明顯；主要考驗視認與拘束下的穩定處理。
ウィーアーピコピコハンマーズ!!!!,master,14.2,物量譜面,"全體難,高速處理,拘束配置","交互穩定,餡蜜可用",中,圖面整體密度高，BPM202下TAP與交互配置壓力明顯；部分高速段可用餡蜜輔助穩定。
テトリス,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面有大量滑條/長條與TAP交錯，視認與手順牽制明顯；不是單純高速型。
ナラク・オン・エア,master,14.2,高速處理,"全體難,物量譜面,拘束配置","交互穩定,餡蜜可用",中,圖面BPM220下配置持續且TAP壓力高，速度與交互穩定是主軸。
Crystallize,master,14.2,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面長條/滑條牽制多，段落差明顯；主軸是視認與局部手順處理。
Revived,master,14.2,高速處理,"局部難,階段,拘束配置","階段,餡蜜可用",中,圖面BPM290下有局部高速配置與階段壓力，速度反應是主軸；部分高速段可用餡蜜輔助。
アマツカミ,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條牽制密集，TAP穿插其中；主要考驗視認與拘束下的手順。
痛快リズムアクション「B.B.K.K.B.K.K.」,master,14.2,局部難,"混合節奏,拘束配置,視認難",交互穩定,中,圖面節奏變化與局部配置較突出，長條牽制穿插其中；推分重點是節奏穩定。
Brightness,master,14.2,局部難,"視認難,混合節奏,拘束配置",,中,圖面段落型配置較明顯，局部視認與混合節奏壓力大；技巧需求較分散。
Technicians High,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條牽制密集，TAP與滑條混合持續；主要考驗視認與手順整理。
電脳少女は歌姫の夢を見るか?,master,14.2,高速處理,"局部難,視認難,拘束配置","交互穩定,餡蜜可用",中,圖面BPM240下速度壓力強，局部快速配置與視認處理是主要難點。
ベースラインやってる?笑,master,14.2,局部難,"視認難,混合節奏,拘束配置",,中,圖面段落型配置與長條牽制明顯，主要看局部視認與手順處理。
Cyaegha,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面滑條與長條牽制多，TAP配置穿插密集；視認與片手處理是核心。
Jade Star,master,14.2,局部難,"視認難,混合節奏,拘束配置",,中,圖面整體密度不算極高，但段落型配置與節奏變化明顯；重點在局部視認與節奏穩定。
レータイスパークEx,master,14.2,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面BPM210下配置持續，高速TAP與長條混合壓力明顯；部分高速段可用餡蜜輔助。
Twice up Scenery,master,14.2,拘束配置,"全體難,視認難,混合節奏",片手處理,中,低BPM但長條/滑條與TAP配置密集，主軸是視認和片手處理。
トリスメギストス,master,14.2,局部難,"視認難,拘束配置,混合節奏",片手處理,中,圖面段落差明顯，長條牽制與局部配置壓力較大；重點在視認與手順。
分からない,master,14.2,局部難,"視認難,拘束配置,混合節奏",交互穩定,中,圖面有段落型TAP配置與長條牽制，整體不是純物量；重點在局部穩定。
幻想のサテライト,master,14.2,局部難,"高速處理,視認難,拘束配置",餡蜜可用,中,圖面BPM230下局部高速配置明顯，長條牽制穿插；速度反應是主要難點。
DRAGONLADY,master,14.2,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面低BPM下長條牽制與局部配置明顯，手順與視認是主要難點。
GEMINI -C-,master,14.2,局部難,"視認難,混合節奏,拘束配置",,中,圖面段落差明顯，局部視認與混合節奏壓力較大；技巧需求較分散。
Jack-the-Ripper◆,master,14.2,局部難,"高速處理,視認難,拘束配置",餡蜜可用,中,圖面BPM210下有局部高速配置，段落差較大；部分高速段可用餡蜜輔助。
ふぁんぶる！,master,14.2,局部難,"視認難,混合節奏",,高,歌名、定數、BPM/CHAIN資料缺失；譜面圖可視但無法完整對應曲名，建議人工確認。
最愛テトラグラマトン,ultima,14.2,物量譜面,"全體難, 拘束配置, 混合節奏",,低,BPM 176、CHAIN 2070，整體偏密，長條與 TAP 混合壓力明顯。
モンダイナイトリッパー,ultima,14.2,物量譜面,"全體難, 混合節奏, 拘束配置",,低,BPM 180、CHAIN 2337，CHAIN 高，整體持續壓力明顯。
Guilty,ultima,14.2,物量譜面,"全體難, 拘束配置, 混合節奏",,低,BPM 195、CHAIN 2031，整體密度高，中高速綜合壓力明顯。
ロストワンの号哭,ultima,14.2,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 162、CHAIN 1761，整體偏密，屬綜合處理型。
FLOWER,ultima,14.2,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 173、CHAIN 1768，圖面整體偏滿，配置與密度兼具。
WWW,ultima,14.2,局部難,"拘束配置, 混合節奏, 標準",,中,BPM 146、CHAIN 1481，密度不高，偏局部配置與節奏處理。
幾望の月,ultima,14.2,拘束配置,"局部難, 視認難, 混合節奏",,中,BPM 138、CHAIN 1956，速度不高但配置複雜，偏手順與讀譜。
Infantoon Fantasy,ultima,14.2,拘束配置,"視認難, 局部難, 混合節奏",,中,BPM 185、CHAIN 2291，CHAIN 高但圖面特殊配置與滑條多，偏讀譜配置。
唱,ultima,14.2,高速處理,"局部難, 混合節奏, 標準",,中高,歌名疑似抓取異常；BPM 132、CHAIN 1540，暫以低 CHAIN 局部型判斷。
ラストピースに祝福と栄光を,expert,14.3,物量譜面,"全體難,高速處理,拘束配置","交互穩定,階段",中低,圖面整體密度偏高，階段、交互與長條/滑條交錯頻繁；全程處理壓力明顯。
X7124,expert,14.3,物量譜面,"全體難,高速處理,拘束配置","鍵盤,交互穩定",中低,圖面整體密度高，有多段鍵盤狀配置與長條/滑條牽制；全程壓力明顯。
月葬,expert,14.3,標準,"混合節奏,拘束配置,局部難",交互穩定,中,圖面偏綜合配置，長條、滑條、AIR 與 TAP 都有出現但單一極端不明顯；主要考驗節奏變化、手順整理與局部穩定。
輪廻玲々,expert,14.3,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面有多段長條/滑條與 TAP 牽制，並穿插節奏變化與局部密集；手順與視認整理是主要壓力。
Aether Crest: Celestial,expert,14.3,標準,"混合節奏,拘束配置,局部難",交互穩定,中,圖面整體偏綜合，TAP、AIR、長條與滑條配置平均；局部有牽制段，主要看基礎穩定與手順判斷。
Chaotic Ørder,expert,14.3,局部難,"高速處理,拘束配置,視認難","階段,片手處理",中,圖面有多段局部高速配置、斜向階段與長條牽制；段落壓力差明顯。
To:Be Continued,expert,14.3,拘束配置,"混合節奏,視認難,局部難","片手處理,擦り可用",中,圖面有多段長條/滑條牽制與斜向配置，節奏與手順變化較多；視認整理與局部穩定是主軸。
Killing Rhythm,expert,14.3,高速處理,"全體難,階段,物量譜面","階段,餡蜜可用",中,圖面有多段高速階段與交互配置；速度穩定度是主軸，部分高速段可用餡蜜輔助。
DA'AT,expert,14.3,物量譜面,"全體難,高速處理,拘束配置","鍵盤,交互穩定",中高,圖面整體密度高，鍵盤狀配置與長條/滑條牽制連續出現；定數空白，建議人工確認。
無双の咆哮 Warcry Overload,master,14.3,物量譜面,"全體難,高速處理,混合節奏",交互穩定,中低,圖面整體TAP密度高，配置持續且節奏變化明顯；以耐力與交互穩定為主。
Elusive Enforcer,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,整體TAP與長條混合配置量高，BPM185下持續處理與交互穩定是主軸。
Joe Fight,master,14.3,物量譜面,"全體難,混合節奏,拘束配置",交互穩定,中低,圖面整體密度高，TAP與長條配置持續；主要是全程穩定處理。
Overturn,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高，TAP與長條混合持續；BPM175下偏全程穩定處理型。
Λlteration,master,14.3,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,CHAIN2400且圖面配置持續，TAP與長條混合壓力大；推分重點在全程穩定。
MAXRAGE,master,14.3,物量譜面,"全體難,高速處理,拘束配置","交互穩定,餡蜜可用",中低,圖面密度高且持續，BPM222下高速TAP與交互壓力明顯；後段仍需穩定。
VIIIbit Explorer,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量高，TAP與長條混合持續；BPM188下需要穩定交互與耐力。
花たちに希望を,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面密度高且配置持續，BPM187下需要穩定交互與耐力。
DX超性能フルメタル少女,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面TAP密度高且BPM160下配置持續，後段有較高處理量；偏全體難的物量型。
ナイト・オブ・ナイツ (USAO Remix),master,14.3,物量譜面,"全體難,高速處理,拘束配置","交互穩定,餡蜜可用",中低,圖面BPM205且整體配置量高，高速TAP與交互段持續；部分高速段可用餡蜜輔助。
conflict(斉唱),master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN2700且圖面密度高，TAP與長條交錯持續；BPM160下以耐力與節奏穩定為主。
absolute rightness,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN2737且圖面整體密度高，BPM194下持續配置壓力明顯；偏物量耐力型。
燃えてもエンジョイ!宛城、炎上!!,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN3000且圖面密度極高，TAP與長條配置持續；全程穩定與耐力是核心。
BlazinG AIR,master,14.3,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體密度高，TAP與長條混合持續；偏全程穩定型。
CHOCOLATE BOMB!!!!,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面TAP密度高且BPM190，處理量持續；重點在交互穩定與耐力。
Hyper Active,master,14.3,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體密度高，TAP與長條混合持續；偏全程處理型。
JIGOKU STATION CENTRAL GATE,master,14.3,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面配置量高且持續，TAP與長條混合壓力明顯；全曲穩定重要。
Warcry,master,14.3,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面BPM190下TAP與長條配置持續，CHAIN偏高；耐力與交互穩定是主軸。
